Date,AAPL,AMZN,BAC,CAT,GOOGL,JNJ,JPM,KO,META,MSFT,NVDA,TSLA,UNH,WMT,XOM
2010-01-04,6.412383079528809,6.695000171661377,12.169187545776367,39.1988639831543,15.566814422607422,40.418453216552734,28.423921585083008,17.43540382385254,,23.130050659179688,0.423806756734848,,24.597440719604492,12.960368156433105,37.88178634643555
2010-01-05,6.423469066619873,6.734499931335449,12.56474494934082,39.66749954223633,15.49826431274414,39.949771881103516,28.974502563476562,17.224491119384766,,23.13751983642578,0.4299953579902649,,24.558439254760742,12.831316947937012,38.029693603515625
2010-01-06,6.321295738220215,6.612500190734863,12.712105751037598,39.78800964355469,15.107573509216309,40.27471160888672,29.13369369506836,17.218374252319336,,22.99553680419922,0.43274587392807007,,24.800277709960938,12.80263614654541,38.35839080810547
2010-01-07,6.309610843658447,6.5,13.130935668945312,39.948699951171875,14.755875587463379,39.98726272583008,29.710792541503906,17.175579071044922,,22.75638771057129,0.4242650866508484,,25.75203514099121,12.809805870056152,38.23789596557617
2010-01-08,6.351558208465576,6.676000118255615,13.014593124389648,40.39726257324219,14.952588081359863,40.12474822998047,29.63782501220703,16.85768699645996,,22.913333892822266,0.4251820147037506,,25.510189056396484,12.745280265808105,38.08449172973633
2010-01-11,6.295527935028076,6.515500068664551,13.130935668945312,42.93463897705078,14.929986953735352,40.131004333496094,29.5383358001709,17.20003318786621,,22.621870040893555,0.4192223846912384,,25.68181610107422,12.955587387084961,38.51179504394531
2010-01-12,6.223916053771973,6.367499828338623,12.688841819763184,41.669315338134766,14.66596508026123,40.34347152709961,28.848459243774414,17.386493682861328,,22.472402572631836,0.4050116240978241,,25.00311279296875,13.079865455627441,38.320064544677734
2010-01-13,6.311707019805908,6.45550012588501,12.890496253967285,41.72954177856445,14.581765174865723,40.599674224853516,29.352596282958984,17.432340621948242,,22.68165397644043,0.4105125069618225,,25.385374069213867,13.146777153015137,38.166656494140625
2010-01-14,6.27515172958374,6.367499828338623,13.045620918273926,41.49523162841797,14.650317192077637,40.6808967590332,29.644472122192383,17.462902069091797,,23.13751983642578,0.40409478545188904,,25.993873596191406,12.955587387084961,38.172142028808594
2010-01-15,6.170280933380127,6.35699987411499,12.61127758026123,40.52458190917969,14.405670166015625,40.34347152709961,28.974502563476562,17.206144332885742,,23.06279182434082,0.39217591285705566,,26.329334259033203,12.828925132751465,37.859886169433594
2010-01-19,6.443244934082031,6.380499839782715,12.657817840576172,41.07057189941406,14.594931602478027,40.83713912963867,28.709156036376953,17.245880126953125,,23.242155075073242,0.3995105028152466,,27.405895233154297,12.912568092346191,37.947532653808594
2010-01-20,6.34406852722168,6.289000034332275,12.789669036865234,40.28192138671875,14.415852546691895,40.7121467590332,28.78875732421875,16.96466827392578,,22.861007690429688,0.39790624380111694,,26.95342445373535,12.87194538116455,37.26823043823242
2010-01-21,6.234403133392334,6.330999851226807,11.998557090759277,38.32040023803711,14.47968578338623,39.974769592285156,26.89162826538086,16.619260787963867,,22.42755889892578,0.3908005952835083,,25.82224464416504,12.647294998168945,36.53963851928711
2010-01-22,5.925185203552246,6.071499824523926,11.5564603805542,36.56785583496094,13.660798072814941,39.493587493896484,25.976221084594727,16.579526901245117,,21.642850875854492,0.37727734446525574,,25.86905860900879,12.65207576751709,36.210933685302734
2010-01-25,6.084587574005127,6.015500068664551,11.618507385253906,37.167762756347656,13.412175178527832,39.506099700927734,26.0093936920166,16.613149642944336,,21.911893844604492,0.38369521498680115,,25.744230270385742,12.637735366821289,36.07398223876953
2010-01-26,6.170582294464111,5.973999977111816,11.455635070800781,37.646339416503906,13.472281455993652,39.237388610839844,25.49862289428711,16.548954010009766,,22.04642105102539,0.3715471029281616,,25.307357788085938,12.8121976852417,36.11233901977539
2010-01-27,6.228709697723389,6.137499809265137,11.781383514404297,36.0218505859375,13.464332580566406,39.64356994628906,26.088979721069336,16.662057876586914,,22.173463821411133,0.38163241744041443,,25.93146514892578,12.762006759643555,35.90416717529297
2010-01-28,5.971327781677246,6.301499843597412,11.920990943908691,34.95683288574219,13.270354270935059,39.86852264404297,26.18848419189453,16.56118392944336,,21.79232406616211,0.3687966465950012,,26.079692840576172,12.573203086853027,35.58644104003906
2010-01-29,5.754694938659668,6.270500183105469,11.773630142211914,35.21298599243164,13.162311553955078,39.2811279296875,25.830286026000977,16.582582473754883,,21.059938430786133,0.3527520000934601,,25.744230270385742,12.769176483154297,35.29609680175781
2010-02-01,5.834695816040039,5.94350004196167,11.959774017333984,35.684810638427734,13.238810539245605,39.424861907958984,26.28797721862793,16.62232208251953,,21.231821060180664,0.37979868054389954,,25.845643997192383,12.7811279296875,36.254764556884766
2010-02-02,5.868553638458252,5.906000137329102,12.099383354187012,36.09600830078125,13.191618919372559,39.98726272583008,26.898256301879883,16.827110290527344,,21.269187927246094,0.38369521498680115,,26.56336212158203,12.783512115478516,36.68206787109375
2010-02-03,5.969529628753662,5.954999923706055,12.045092582702637,35.988155364990234,13.432539939880371,39.76231002807617,26.72579002380371,16.772096633911133,,21.39622688293457,0.38690412044525146,,25.993873596191406,12.96993350982666,36.48485565185547
2010-02-04,5.754395008087158,5.796999931335449,11.440123558044434,34.64677429199219,13.083824157714844,39.14365768432617,25.438928604125977,16.331932067871094,,20.805845260620117,0.36444175243377686,,25.32295799255371,12.659245491027832,35.4549560546875
2010-02-05,5.856569290161133,5.869500160217285,11.63401985168457,34.882694244384766,13.195840835571289,39.14365768432617,25.405750274658203,16.22800636291504,,20.94036102294922,0.37177637219429016,,25.385374069213867,12.773959159851074,35.498775482177734
