Ticker,Alpha_CAPM,Alpha_CAPM_pval,Alpha_FF3,Alpha_FF3_pval,Adj_R2_CAPM,Adj_R2_FF3
AAPL,0.01042077235276285,0.024983001054890232,0.009040180547784283,0.04593722064594628,0.3506697105423682,0.3928416654963467
MSFT,0.007054183439118567,0.04930786657407388,0.004411337476801411,0.1757319948005164,0.40962097117240126,0.5192937383519993
NVDA,0.021916422437028606,0.007421066253194594,0.01944339859938199,0.014176503709292078,0.2999286910336445,0.35316139588123197
GOOGL,0.007254440903150034,0.1001479626386842,0.00545297775678748,0.20626464457194765,0.34123277004177166,0.37943207762912234
META,0.011204253020892037,0.16398668134665595,0.009640900330819383,0.22302612022948606,0.1802463269504837,0.2233195265042196
AMZN,0.008378389398864148,0.10450178148434437,0.006609924002980875,0.14996084944305876,0.35221227399741417,0.49562572890398526
TSLA,0.025052598926475756,0.05077942579186656,0.028391501757441442,0.023056856397214283,0.14799855314085075,0.2123700560711843
KO,0.002597761359473358,0.3838920570123462,0.0007262351152110684,0.7894509187312183,0.17787635073271946,0.3275465615810811
WMT,0.006667124670904933,0.061216920085443105,0.004831823993159826,0.16164594317570605,0.13668066671044032,0.19986058894733771
JNJ,0.003082104442581838,0.2886497712882032,0.0021036490104641126,0.4569844777730083,0.23069649770153744,0.2824335630780377
UNH,0.008452700929508346,0.0748701374754599,0.009049229234604056,0.05890020308448246,0.12191734249943698,0.12182738726174525
JPM,0.0011362879975445916,0.7547825910421218,0.002342709974266887,0.43744687215041533,0.5417500187826524,0.6908106881814522
BAC,-0.005045732278367576,0.3002913554797473,-0.0029588942696923684,0.47704214787780735,0.4793315380796448,0.6261907064668624
CAT,0.0023130917113011137,0.6269742234335158,0.003812748773575825,0.4157439796462022,0.4501879181015088,0.4772546016817215
XOM,-0.0017326586340178037,0.6888979945262108,-0.0005317917563422888,0.8843970407566931,0.2804564304817614,0.4949479058595798
